Artist Name                    | Number of appearances on top 200

24kGoldn                                1
5 Seconds of Summer                     1
A Boogie Wit da Hoodie                 16
Ali Gatie                               1
Ariana Grande                           1
Arizona Zervas                          2
Baby Keem                               1
Bad Bunny                               3
benny blanco                            1
Billie Eilish                           7
blackbear                               2
BROCKHAMPTON                            1
Camila Cabello                          1
Chris Brown                             1
Conan Gray                              1
DaBaby                                  4
Dan + Shay                              2
Diplo                                   1
Doja Cat                                2
Don Toliver                             1
Drake                                   1
Dua Lipa                                2
Ed Sheeran                              2
Ellie Goulding                          1
Eminem                                  1
Flipp Dinero                            1
Future                                  1
G-Eazy                                  1
Halsey                                  2
Harry Styles                            3
Idina Menzel                            1
J. Cole                                 1
Jack Harlow                             1
JACKBOYS                                1
James Arthur                            1
Joji                                    2
Jonas Brothers                          2
JP Saxe                                 1
Juice WRLD                              7
Justin Bieber                          17
K CAMP                                  1
KAROL G                                 1
Khalid                                  2
Kodak Black                             1
Lewis Capaldi                           2
Lil Baby                                4
Lil Mosey                               2
Lil Nas X                               2
Lil Tecca                               2
Lil Tjay                                1
Lil Uzi Vert                            3
Lil Wayne                               1
Lizzo                                   2
Luke Combs                              1
Mac Miller                              1
Maroon 5                                1
Marshmello                              1
MEDUZA                                  1
Meek Mill                               1
Megan Thee Stallion                     1
Migos                                   1
Morgan Wallen                           1
Mustard                                 1
Nicki Minaj                             1
NLE Choppa                              1
Noah Cyrus                              1
Old Dominion                            1
Olivia Rodrigo                          1
Polo G                                  2
Post Malone                             9
Powfu                                   1
Quality Control                         1
Roddy Ricch                             4
Russ                                    1
Sam Smith                               1
Selena Gomez                            2
Shawn Mendes                            1
Surfaces                                1
Tame Impala                            13
Taylor Swift                            1
The Black Eyed Peas                     1
The Weeknd                              2
TOKYO’S REVENGE                         1
Tones and I                             1
Tory Lanez                              1
Travis Scott                            3
Trevor Daniel                           1
Trippie Redd                            1
Tyler, The Creator                      1
XXXTENTACION                            4
Y2K                                     1
YNW Melly                               3
Young Thug                              3
YoungBoy Never Broke Again              2
